kernel,waitcnt_line,original_matches_expected,mutant_matches_original,mutant_matches_expected,notes
accum_and_32,20,yes,skip,skip,"launcher rc=2 HIP err 110: an illegal memory access was encountered
"
accum_and_32,89,yes,yes,yes,
accum_and_32,132,yes,yes,yes,
accum_and_32,134,yes,yes,yes,
accum_and_32,137,yes,yes,yes,
accum_and_32,139,yes,yes,yes,
accum_and_32,142,yes,yes,yes,
accum_and_32,144,yes,yes,yes,
accum_and_32,147,yes,yes,yes,
accum_and_32,149,yes,yes,yes,
accum_and_32,152,yes,yes,yes,
accum_and_32,154,yes,yes,yes,
accum_and_32,157,yes,yes,yes,
accum_and_32,159,yes,yes,yes,
accum_and_32,162,yes,yes,yes,
accum_and_32,164,yes,yes,yes,
accum_and_32,167,yes,yes,yes,
accum_and_32,169,yes,yes,yes,
accum_and_32,172,yes,yes,yes,
accum_and_32,174,yes,yes,yes,
accum_and_32,177,yes,yes,yes,
accum_and_32,179,yes,yes,yes,
accum_and_32,182,yes,yes,yes,
accum_and_32,184,yes,yes,yes,
accum_and_32,187,yes,yes,yes,
accum_and_32,189,yes,yes,yes,
accum_and_32,192,yes,yes,yes,
accum_and_32,194,yes,yes,yes,
accum_and_32,197,yes,yes,yes,
accum_and_32,199,yes,yes,yes,
accum_and_32,202,yes,yes,yes,
accum_and_32,204,yes,yes,yes,
accum_and_32,207,yes,yes,yes,
accum_and_4,15,yes,skip,skip,"launcher rc=2 HIP err 110: an illegal memory access was encountered
"
accum_and_4,32,yes,yes,yes,
accum_and_4,39,yes,no,no,v5 lane00 orig=dead0000 mut=1c000000 (32 lanes differ)
accum_and_4,41,yes,yes,yes,
accum_and_4,44,yes,yes,yes,
accum_and_64,20,yes,skip,skip,"launcher rc=2 HIP err 110: an illegal memory access was encountered
"
accum_and_64,80,yes,skip,skip,"launcher rc=2 HIP err 110: an illegal memory access was encountered
"
accum_and_64,138,yes,yes,yes,
accum_and_64,217,yes,yes,yes,
accum_and_64,243,yes,yes,yes,
accum_and_64,272,yes,yes,yes,
accum_and_64,277,yes,yes,yes,
accum_and_64,280,yes,yes,yes,
accum_and_64,283,yes,yes,yes,
accum_and_64,285,yes,yes,yes,
accum_and_64,288,yes,yes,yes,
accum_and_64,290,yes,yes,yes,
accum_and_64,293,yes,yes,yes,
accum_and_64,295,yes,yes,yes,
accum_and_64,298,yes,yes,yes,
accum_and_64,300,yes,yes,yes,
accum_and_64,303,yes,yes,yes,
accum_and_64,305,yes,yes,yes,
accum_and_64,308,yes,yes,yes,
accum_and_64,310,yes,yes,yes,
accum_and_64,313,yes,yes,yes,
accum_and_64,315,yes,yes,yes,
accum_and_64,318,yes,yes,yes,
accum_and_64,320,yes,yes,yes,
accum_and_64,323,yes,yes,yes,
accum_and_64,325,yes,yes,yes,
accum_and_64,328,yes,yes,yes,
accum_and_64,330,yes,yes,yes,
accum_and_64,333,yes,yes,yes,
accum_and_64,335,yes,yes,yes,
