family,counter,depth,count
load_compute_store,vmcnt,0,31
load_compute_store,lgkmcnt,0,11
load_compute_store,vscnt,0,6
store_chain,vmcnt,0,5
store_chain,lgkmcnt,0,17
store_chain,vscnt,0,10
store_reload,vmcnt,0,6
store_reload,lgkmcnt,0,12
store_reload,vscnt,0,12
store_then_load,vmcnt,0,1
store_then_load,lgkmcnt,0,2
store_then_load,vscnt,0,2
load_overwrite,vmcnt,0,1
load_overwrite,lgkmcnt,0,2
load_overwrite,vscnt,0,2
fanout,vmcnt,0,2
fanout,lgkmcnt,0,2
fanout,vscnt,0,2
mixed_loads,vmcnt,0,6
mixed_loads,vmcnt,1,3
mixed_loads,vmcnt,2,3
mixed_loads,vmcnt,3,3
mixed_loads,vmcnt,4,3
mixed_loads,vmcnt,5,3
mixed_loads,vmcnt,6,3
mixed_loads,vmcnt,7,2
mixed_loads,vmcnt,8,2
mixed_loads,vmcnt,9,2
mixed_loads,vmcnt,10,2
mixed_loads,vmcnt,11,2
mixed_loads,vmcnt,12,2
mixed_loads,vmcnt,13,2
mixed_loads,vmcnt,14,2
mixed_loads,vmcnt,15,1
mixed_loads,vmcnt,16,1
mixed_loads,vmcnt,17,1
mixed_loads,vmcnt,18,1
mixed_loads,vmcnt,19,1
mixed_loads,vmcnt,20,1
mixed_loads,vmcnt,21,1
mixed_loads,vmcnt,22,1
mixed_loads,vmcnt,23,1
mixed_loads,vmcnt,24,1
mixed_loads,vmcnt,25,1
mixed_loads,vmcnt,26,1
mixed_loads,vmcnt,27,1
mixed_loads,vmcnt,28,1
mixed_loads,vmcnt,29,1
mixed_loads,vmcnt,30,1
mixed_loads,lgkmcnt,0,12
mixed_loads,lgkmcnt,1,3
mixed_loads,lgkmcnt,2,3
mixed_loads,lgkmcnt,3,9
mixed_loads,lgkmcnt,4,15
mixed_loads,lgkmcnt,5,7
mixed_loads,lgkmcnt,6,4
mixed_loads,lgkmcnt,7,7
mixed_loads,lgkmcnt,8,2
mixed_loads,vscnt,0,6
