kernel,waitcnt_line,waitcnt_kind,original_hazards,mutant_hazards,new_hazard_detected,mutant_asm_path
accum_add_32,149,vmcnt,[HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,[HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32 | [HAZARD] read of v26x32 | [HAZARD] read of v27x32,yes,tests/mutation/mutants/accum_add_32__L149.s
accum_add_32,152,vmcnt,[HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,[HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32 | [HAZARD] read of v28x32 | [HAZARD] read of v29x32,yes,tests/mutation/mutants/accum_add_32__L152.s
accum_add_32,154,vmcnt,[HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,[HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32 | [HAZARD] read of v30x32 | [HAZARD] read of v31x32,yes,tests/mutation/mutants/accum_add_32__L154.s
accum_add_32,157,vmcnt,[HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,[HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32 | [HAZARD] read of v32x32 | [HAZARD] read of v33x32,yes,tests/mutation/mutants/accum_add_32__L157.s
accum_add_32,159,vmcnt,[HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,[HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32 | [HAZARD] read of v34x32 | [HAZARD] read of v35x32,yes,tests/mutation/mutants/accum_add_32__L159.s
accum_add_32,162,vmcnt,[HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,[HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32 | [HAZARD] read of v36x32 | [HAZARD] read of v37x32,yes,tests/mutation/mutants/accum_add_32__L162.s
accum_add_32,164,vmcnt,[HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,[HAZARD] read of v12x32 | [HAZARD] read of v6x64 | [HAZARD] read of v2x32 | [HAZARD] read of v38x32,yes,tests/mutation/mutants/accum_add_32__L164.s
accum_add_32,167,vmcnt,[HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,[HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32 | [HAZARD] read of v7x32 | [HAZARD] read of v8x32,yes,tests/mutation/mutants/accum_add_32__L167.s
accum_add_32,169,vmcnt,[HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,[HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x128 | [HAZARD] read of v3x32 | [HAZARD] overwrite of v2x32,yes,tests/mutation/mutants/accum_add_32__L169.s
accum_add_4,15,lgkmcnt,[HAZARD] read of v2x32,[HAZARD] Load result used without synchronisation primitives. This may return stale data on bare metal. Use s_waitcnt to avoid stale loads.x8 | [HAZARD] read of v2x32,yes,tests/mutation/mutants/accum_add_4__L15.s
accum_add_4,30,lgkmcnt,[HAZARD] read of v2x32,[HAZARD] Load result used without synchronisation primitives. This may return stale data on bare metal. Use s_waitcnt to avoid stale loads.x2 | [HAZARD] read of v2x32,yes,tests/mutation/mutants/accum_add_4__L30.s
accum_add_4,39,vmcnt,[HAZARD] read of v2x32,[HAZARD] read of v2x64 | [HAZARD] read of v3x32,yes,tests/mutation/mutants/accum_add_4__L39.s
accum_add_4,41,vmcnt,[HAZARD] read of v2x32,[HAZARD] read of v2x32 | [HAZARD] read of v4x32 | [HAZARD] read of v5x32,yes,tests/mutation/mutants/accum_add_4__L41.s
