kernel,waitcnt_line,original_matches_expected,mutant_matches_original,mutant_matches_expected,notes
accum_and_96,471,yes,yes,yes,
accum_and_96,473,yes,yes,yes,
accum_and_96,476,yes,yes,yes,
accum_and_96,478,yes,yes,yes,
accum_and_96,481,yes,yes,yes,
accum_and_96,483,yes,yes,yes,
accum_and_96,486,yes,yes,yes,
accum_and_96,488,yes,yes,yes,
accum_and_96,491,yes,yes,yes,
accum_and_96,493,yes,yes,yes,
accum_and_96,496,yes,yes,yes,
accum_and_96,498,yes,yes,yes,
accum_and_96,501,yes,yes,yes,
accum_and_96,503,yes,yes,yes,
accum_and_96,506,yes,yes,yes,
accum_and_96,508,yes,yes,yes,
accum_and_96,511,yes,yes,yes,
accum_and_96,513,yes,yes,yes,
accum_and_96,516,yes,yes,yes,
accum_and_96,518,yes,yes,yes,
accum_and_96,521,yes,yes,yes,
accum_and_96,523,yes,yes,yes,
accum_and_96,526,yes,yes,yes,
accum_and_96,528,yes,yes,yes,
accum_and_96,531,yes,yes,yes,
accum_and_96,533,yes,yes,yes,
accum_and_96,536,yes,yes,yes,
accum_and_96,538,yes,yes,yes,
accum_and_96,541,yes,yes,yes,
accum_and_96,543,yes,yes,yes,
accum_and_96,546,yes,yes,yes,
accum_and_96,548,yes,yes,yes,
accum_and_96,551,yes,yes,yes,
accum_and_96,553,yes,yes,yes,
accum_and_96,556,yes,yes,yes,
accum_and_96,558,yes,yes,yes,
accum_and_96,561,yes,yes,yes,
accum_and_96,563,yes,yes,yes,
accum_and_96,566,yes,yes,yes,
accum_and_96,568,yes,yes,yes,
accum_and_96,571,yes,yes,yes,
accum_and_96,573,yes,yes,yes,
accum_and_96,576,yes,yes,yes,
accum_and_96,578,yes,yes,yes,
accum_and_96,581,yes,yes,yes,
accum_and_96,583,yes,yes,yes,
accum_and_96,586,yes,yes,yes,
accum_and_96,588,yes,yes,yes,
accum_and_96,591,yes,yes,yes,
