kernel,waitcnt_line,kind,n_attempted,n_completed,n_match,n_diverge,n_launcher_fail,n_timeout,divergence_count,divergence_frac,divergence_frac_attempted,launcher_fail_frac,flag_persistent_launcher_fail,n_distinct_mut_dumps,n_distinct_mut_dumps_excl_orig_set,median_divergent_lanes,max_divergent_lanes,first_seen_iter_per_hash
accum_add_32,162,vmcnt,49,49,49,0,0,0,0,0.0000,0.0000,0.0000,no,1,0,0,0,"{""4cbb1659c00bdeff65bfda2f21799e8ccb1319e6"": 0}"
accum_add_32,164,vmcnt,49,49,49,0,0,0,0,0.0000,0.0000,0.0000,no,1,0,0,0,"{""4cbb1659c00bdeff65bfda2f21799e8ccb1319e6"": 0}"
accum_add_32,167,vmcnt,49,49,49,0,0,0,0,0.0000,0.0000,0.0000,no,1,0,0,0,"{""4cbb1659c00bdeff65bfda2f21799e8ccb1319e6"": 0}"
accum_add_32,169,vmcnt,10,10,0,10,0,0,10,1.0000,1.0000,0.0000,no,10,10,32,32,"{""a275af118b3110d4fe8270834402ff2d279bd2cd"": 0, ""d7bb4b831870828e7467b41e170d18eb142698b9"": 1, ""1520d9602e28bda78cad2094568d2aa5ba6e3c43"": 2, ""d6b5cc40a0e981f90ba06661c56cc081c9d5a5ff"": 3, ""ba004021329eab17214c502bc4f2f74b2e942612"": 4, ""227c389b11e82cb3928797bfd52768b1cde25c32"": 5, ""d459a14acad65c3471aa188209149b2fdb59d029"": 6, ""fc44b388264dbaa20ebfffcc98c3220a35770ef1"": 7, ""d55feaf25923effbe7c4a37c97bd780e88f397ef"": 8, ""f30bed1166c91996e3919e8a7ebcbd3ac28e1fec"": 9}"
accum_add_4,15,lgkmcnt,49,3,0,3,30,16,3,1.0000,0.0612,0.9388,yes,1,1,32,32,"{""96d02e012b9aa9c62ccfd7b16dbecbc754878b21"": 42}"
accum_add_4,30,lgkmcnt,49,2,0,2,29,18,2,1.0000,0.0408,0.9592,yes,2,2,32,32,"{""e03bbc4e81984a6da98211aa282073c75fe63972"": 18, ""96d02e012b9aa9c62ccfd7b16dbecbc754878b21"": 42}"
accum_add_4,39,vmcnt,10,10,0,10,0,0,10,1.0000,1.0000,0.0000,no,1,1,32,32,"{""45c8172b0877cf4e04722cc7b1e261453509a995"": 0}"
accum_add_4,41,vmcnt,49,49,49,0,0,0,0,0.0000,0.0000,0.0000,no,1,0,0,0,"{""9ae3fbf61a39285051652a392906c81fafdc6fc5"": 0}"
accum_add_64,21,lgkmcnt,49,3,0,3,23,23,3,1.0000,0.0612,0.9388,yes,2,2,32,32,"{""96d02e012b9aa9c62ccfd7b16dbecbc754878b21"": 30, ""daa30866aa9a559ec31c823be7a98d004f97c31e"": 48}"
accum_add_64,42,lgkmcnt,49,1,0,1,30,18,1,1.0000,0.0204,0.9796,yes,1,1,32,32,"{""96d02e012b9aa9c62ccfd7b16dbecbc754878b21"": 41}"
