waitcnt_kind,total,bm_tested,bm_diverge,bm_match,bm_skip,divergence_rate_pct,redundant_on_match
lgkmcnt,195,117,76,41,78,65.0,0
vmcnt,1072,1045,207,838,27,19.8,0
